GISJOIN,YEAR,REGIONA,DIVISIONA,STATE,STATEA,COUNTY,COUNTYA,COUSUBA,PLACEA,TRACTA,BLKGRPA,BLOCKA,CONCITA,AIANHHA,AIANHHRA,AIANHHTA,AITSA,ANRCA,CSAA,NECTAA,NECTADIVA,CNECTAA,CDA,SLDUA,SLDLA,VTDA,SUBMCDA,SDELMA,SDSECA,SDUNIA,NAME,SABINSA,H7Q001,H7Q002,H7Q003,H7Q004,H7Q005,H7Q006,H7Q007,H7Q008,H7Q009,H7Q010,H7Q011,H7Q012,H7Q013,H7Q014,H7Q015,H7Q016,H7Q017,H7Q018,H7Q019,H7Q020,H7Q021,H7Q022,H7Q023,H7Q024,H7Q025,H7Q026,H7Q027,H7Q028,H7Q029,H7Q030,H7Q031,H7Q032,H7Q033,H7Q034,H7Q035,H7Q036,H7Q037,H7Q038,H7Q039,H7Q040,H7Q041,H7Q042,H7Q043,H7Q044,H7Q045,H7Q046,H7Q047,H7Q048,H7Q049,H7Q050,H7Q051,H7Q052,H7Q053,H7Q054,H7Q055,H7Q056,H7Q057,H7Q058,H7Q059,H7Q060,H7Q061,H7Q062,H7Q063,H7Q064,H7Q065,H7Q066,H7Q067,H7Q068,H7Q069,H7Q070,H7Q071,2010 Census Redistricting Data tabulation downloaded from nhgis.org on 20220530
GIS Join Match Code,Data File Year,Region Code,Division Code,State Name,State Code,County Name,County Code,County Subdivision Code,Place Code,Census Tract Code,Block Group Code,Block Code,Consolidated City Code,American Indian Area/Alaska Native Area/Hawaiian Home Land Code,American Indian Area/Alaska Native Area (Reservation or Statistical Entity Only) Code,American Indian Area (Off-Reservation Trust Land Only)/Hawaiian Home Land Code,Tribal Subdivision/Remainder Code,Alaska Native Regional Corporation Code,Combined Statistical Area Code,New England City and Town Area Code,NECTA Division Code,Combined New England City and Town Area Code,Congressional District (111th Congress) Code,State Legislative District (Upper Chamber) Code,State Legislative District (Lower Chamber) Code,Voting District/Remainder Code,Subminor Civil Division Code,School District (Elementary)/Remainder Code,School District (Secondary)/Remainder Code,School District (Unified)/Remainder Code,Area Name-Legal/Statistical Area Description (LSAD) Term-Part Indicator,School Attendance Area Code,Total,Population of one race,White alone,Black or African American alone,American Indian and Alaska Native alone,Asian alone,Native Hawaiian and Other Pacific Islander alone,Some Other Race alone,Population of two or more races,Population of two races,Population of Two Races: White; Black or African American,Population of Two Races: White; American Indian and Alaska Native,Population of Two Races: White; Asian,Population of Two Races: White; Native Hawaiian and Other Pacific Islander,Population of Two Races: White; some other race,Population of Two Races: Black or African American; American Indian and Alaska Native,Population of Two Races: Black or African American; Asian,Population of Two Races: Black or African American; Native Hawaiian and Other Pacific Islander,Population of Two Races: Black or African American; some other race,Population of Two Races: American Indian and Alaska Native; Asian,Population of Two Races: American Indian and Alaska Native; Native Hawaiian and Other Pacific Islander,Population of Two Races: American Indian and Alaska Native; some other race,Population of Two Races: Asian; Native Hawaiian and Other Pacific Islander,Population of Two Races: Asian; some other race,Population of Two Races: Native Hawaiian and Other Pacific Islander; some other race,Population of three races,Population of Three Races: White; Black or African American; American Indian and Alaska Native,Population of Three Races: White; Black or African American; Asian,Population of Three Races: White; Black or African American; Native Hawaiian and Other Pacific Islander,Population of Three Races: White; Black or African American; some other race,Population of Three Races: White; American Indian and Alaska Native; Asian,Population of Three Races: White; American Indian and Alaska Native; Native Hawaiian and Other Pacific Islander,Population of Three Races: White; American Indian and Alaska Native; some other race,Population of Three Races: White; Asian; Native Hawaiian and Other Pacific Islander,Population of Three Races: White; Asian; some other race,Population of Three Races: White; Native Hawaiian and Other Pacific Islander; some other race,Population of Three Races: Black or African American; American Indian and Alaska Native; Asian,Population of Three Races: Black or African American; American Indian and Alaska Native; Native Hawaiian and Other Pacific Islander,Population of Three Races: Black or African American; American Indian and Alaska Native; some other race,Population of Three Races: Black or African American; Asian; Native Hawaiian and Other Pacific Islander,Population of Three Races: Black or African American; Asian; some other race,Population of Three Races: Black or African American; Native Hawaiian and Other Pacific Islander; some other race,Population of Three Races: American Indian and Alaska Native; Asian; Native Hawaiian and Other Pacific Islander,Population of Three Races: American Indian and Alaska Native; Asian; some other race,Population of Three Races: American Indian and Alaska Native; Native Hawaiian and Other Pacific Islander; some other race,Population of Three Races: Asian; Native Hawaiian and Other Pacific Islander; some other race,Population of four races,Population of Four Races: White; Black or African American; American Indian and Alaska Native; Asian,Population of Four Races: White; Black or African American; American Indian and Alaska Native; Native Hawaiian and Other Pacific Islander,Population of Four Races: White; Black or African American; American Indian and Alaska Native; some other race,Population of Four Races: White; Black or African American; Asian; Native Hawaiian and Other Pacific Islander,Population of Four Races: White; Black or African American; Asian; some other race,Population of Four Races: White; Black or African American; Native Hawaiian and Other Pacific Islander; some other race,Population of Four Races: White; American Indian and Alaska Native; Asian; Native Hawaiian and Other Pacific Islander,Population of Four Races: White; American Indian and Alaska Native; Asian; some other race,Population of Four Races: White; American Indian and Alaska Native; Native Hawaiian and Other Pacific Islander; some other race,Population of Four Races: White; Asian; Native Hawaiian and Other Pacific Islander; some other race,Population of Four Races: Black or African American; American Indian and Alaska Native; Asian; Native Hawaiian and Other Pacific Islander,Population of Four Races: Black or African American; American Indian and Alaska Native; Asian; some other race,Population of Four Races: Black or African American; American Indian and Alaska Native; Native Hawaiian and Other Pacific Islander; some other race,Population of Four Races: Black or African American; Asian; Native Hawaiian and Other Pacific Islander; some other race,Population of Four Races: American Indian and Alaska Native; Asian; Native Hawaiian and Other Pacific Islander; some other race,Population of five races,Population of Five Races: White; Black or African American; American Indian and Alaska Native; Asian; Native Hawaiian and Other Pacific Islander,Population of Five Races: White; Black or African American; American Indian and Alaska Native; Asian; some other race,Population of Five Races: White; Black or African American; American Indian and Alaska Native; Native Hawaiian and Other Pacific Islander; some other race,Population of Five Races: White; Black or African American; Asian; Native Hawaiian and Other Pacific Islander; some other race,Population of Five Races: White; American Indian and Alaska Native; Asian; Native Hawaiian and Other Pacific Islander; some other race,Population of Five Races: Black or African American; American Indian and Alaska Native; Asian; Native Hawaiian and Other Pacific Islander; some other race,Population of six races,Population of Six Races: White; Black or African American; American Indian and Alaska Native; Asian; Native Hawaiian and Other Pacific Islander; some other race,
G0100010,2010,3,6,Alabama,1,Autauga County,1,,,,,,,,,,,,388,,,,,,,,,,,,Autauga County,,54571,53702,42855,9643,232,474,32,466,869,814,219,262,177,11,50,32,19,9,16,0,0,5,5,8,1,49,21,4,1,5,3,0,4,5,5,0,0,0,0,1,0,0,0,0,0,0,6,5,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
G0100030,2010,3,6,Alabama,1,Baldwin County,3,,,,,,,,,,,,380,,,,,,,,,,,,Baldwin County,,182265,179542,156153,17105,1216,1348,89,3631,2723,2583,658,1035,336,35,311,63,34,7,38,12,0,15,11,14,14,128,53,11,3,8,21,1,9,10,7,0,1,0,1,2,0,1,0,0,0,0,11,5,0,1,2,0,0,1,0,0,0,1,0,0,1,0,1,1,0,0,0,0,0,0,0,
G0100050,2010,3,6,Alabama,1,Barbour County,5,,,,,,,,,,,,999,,,,,,,,,,,,Barbour County,,27457,27199,13180,12875,114,107,29,894,258,254,76,49,7,2,34,54,2,4,7,0,1,2,1,5,10,3,2,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,
G0100070,2010,3,6,Alabama,1,Bibb County,7,,,,,,,,,,,,142,,,,,,,,,,,,Bibb County,,22915,22712,17381,5047,64,22,13,185,203,195,50,77,16,3,16,9,13,5,4,0,0,2,0,0,0,8,5,0,0,0,0,0,0,0,0,0,1,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
G0100090,2010,3,6,Alabama,1,Blount County,9,,,,,,,,,,,,142,,,,,,,,,,,,Blount County,,57322,56638,53068,761,307,117,38,2347,684,662,112,330,74,8,102,12,2,0,6,3,0,2,4,7,0,21,15,1,0,0,3,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
G0100110,2010,3,6,Alabama,1,Bullock County,11,,,,,,,,,,,,999,,,,,,,,,,,,Bullock County,,10914,10828,2507,7666,23,20,43,569,86,82,12,28,3,0,3,8,5,2,9,0,0,3,0,0,9,4,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
G0100130,2010,3,6,Alabama,1,Butler County,13,,,,,,,,,,,,999,,,,,,,,,,,,Butler County,,20947,20786,11399,9095,60,177,7,48,161,153,58,41,17,1,13,10,4,3,3,0,0,3,0,0,0,8,3,2,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
G0100150,2010,3,6,Alabama,1,Calhoun County,15,,,,,,,,,,,,999,,,,,,,,,,,,Calhoun County,,118572,116597,88840,24382,540,845,96,1894,1975,1848,676,520,223,49,143,67,48,20,46,8,2,4,17,17,8,109,43,10,2,7,8,3,2,18,4,3,1,0,1,2,3,1,1,0,0,0,17,7,0,1,4,0,0,3,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,
G0100170,2010,3,6,Alabama,1,Chambers County,17,,,,,,,,,,,,122,,,,,,,,,,,,Chambers County,,34215,33830,20112,13257,69,168,10,214,385,373,162,101,27,1,37,11,10,0,22,0,0,0,0,1,1,11,4,1,0,1,0,1,0,0,0,0,0,0,0,3,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,
